amfi_code,scheme_name,category,hhi_score,concentration_risk_tier
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,3192.080350482422,Heavily Concentrated (High Risk)
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,2325.3872938708923,Moderately Concentrated (Medium Risk)
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,1853.6289028410492,Moderately Concentrated (Medium Risk)
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,2236.6089228251353,Moderately Concentrated (Medium Risk)
101207,ABSL Small Cap Fund - Regular - Growth,Equity,3049.841051060711,Heavily Concentrated (High Risk)
101208,ABSL Liquid Fund - Regular - Growth,Debt,2307.84806829146,Moderately Concentrated (Medium Risk)
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,2548.2110269630593,Heavily Concentrated (High Risk)
102886,UTI Mid Cap Fund - Regular - Growth,Equity,1848.9150639723355,Moderately Concentrated (Medium Risk)
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,3321.185136166244,Heavily Concentrated (High Risk)
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,3734.1288181805967,Heavily Concentrated (High Risk)
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,1911.609290622967,Moderately Concentrated (Medium Risk)
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,3184.439996152654,Heavily Concentrated (High Risk)
118635,Nippon India ETF Nifty 50 BeES,Equity,2255.4670159249754,Moderately Concentrated (Medium Risk)
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,1607.9377978085145,Moderately Concentrated (Medium Risk)
119092,Axis Bluechip Fund - Regular - Growth,Equity,3398.045288177751,Heavily Concentrated (High Risk)
119093,Axis Bluechip Fund - Direct - Growth,Equity,2703.9200647081907,Heavily Concentrated (High Risk)
119094,Axis Midcap Fund - Regular - Growth,Equity,1735.600078933769,Moderately Concentrated (Medium Risk)
119095,Axis Small Cap Fund - Regular - Growth,Equity,2492.605561323228,Moderately Concentrated (Medium Risk)
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,2714.517668552576,Heavily Concentrated (High Risk)
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,2529.5744024229525,Heavily Concentrated (High Risk)
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,3540.7177368724924,Heavily Concentrated (High Risk)
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,3283.2105212751717,Heavily Concentrated (High Risk)
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,2820.282359421935,Heavily Concentrated (High Risk)
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,2184.666505036949,Moderately Concentrated (Medium Risk)
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,2228.656248189782,Moderately Concentrated (Medium Risk)
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,3375.638332812116,Heavily Concentrated (High Risk)
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,1892.4377951436365,Moderately Concentrated (Medium Risk)
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,2581.1282844618713,Heavily Concentrated (High Risk)
120841,Kotak Bluechip Fund - Regular - Growth,Equity,2048.204284794606,Moderately Concentrated (Medium Risk)
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,3456.232240843217,Heavily Concentrated (High Risk)
120843,Kotak Flexicap Fund - Regular - Growth,Equity,1846.08794527968,Moderately Concentrated (Medium Risk)
120844,Kotak Liquid Fund - Regular - Growth,Debt,1877.962000242146,Moderately Concentrated (Medium Risk)
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,2426.440993904376,Moderately Concentrated (Medium Risk)
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,2084.5109525523308,Moderately Concentrated (Medium Risk)
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,2447.2742957506875,Moderately Concentrated (Medium Risk)
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,2110.8313450790265,Moderately Concentrated (Medium Risk)
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,2174.9969531564934,Moderately Concentrated (Medium Risk)
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,2897.7222882180326,Heavily Concentrated (High Risk)
149323,DSP Midcap Fund - Regular - Growth,Equity,1755.827021738042,Moderately Concentrated (Medium Risk)
149324,DSP Small Cap Fund - Regular - Growth,Equity,1688.813568531167,Moderately Concentrated (Medium Risk)
