investor_id,average_gap_days,status,total_sip_transactions,average_ticket_size
INV000004,85.4,at-risk,6,8042.666666666667
INV000008,70.4,at-risk,6,12142.166666666666
INV000010,64.8,at-risk,6,5363.833333333333
INV000011,40.166666666666664,at-risk,7,13417.142857142857
INV000012,57.0,at-risk,8,5017.375
INV000013,55.333333333333336,at-risk,7,10801.857142857143
INV000014,75.33333333333333,at-risk,7,20045.0
INV000023,58.57142857142857,at-risk,8,25316.125
INV000028,93.6,at-risk,6,14043.666666666666
INV000029,60.666666666666664,at-risk,7,12858.857142857143
INV000030,47.625,at-risk,9,8496.666666666666
INV000033,45.57142857142857,at-risk,8,5754.125
INV000039,68.6,at-risk,6,16556.333333333332
INV000045,70.6,at-risk,6,19073.0
INV000048,46.0,at-risk,9,4480.777777777777
INV000052,36.2,at-risk,6,4063.0
INV000056,74.8,at-risk,6,10162.833333333334
INV000057,49.714285714285715,at-risk,8,11363.375
INV000069,49.111111111111114,at-risk,10,15605.4
INV000072,83.0,at-risk,6,8228.666666666666
INV000073,48.25,at-risk,9,12612.111111111111
INV000074,72.57142857142857,at-risk,8,13333.625
INV000075,74.8,at-risk,6,24626.833333333332
INV000076,91.8,at-risk,6,8485.0
INV000079,65.8,at-risk,6,7026.666666666667
INV000081,81.33333333333333,at-risk,7,7814.857142857143
INV000082,83.66666666666667,at-risk,7,3942.0
INV000086,44.666666666666664,at-risk,10,8122.1
INV000087,92.8,at-risk,6,17548.0
INV000091,44.0,at-risk,8,6891.75
INV000093,55.5,at-risk,7,20216.428571428572
INV000094,44.8,at-risk,6,8321.333333333334
INV000095,69.4,at-risk,6,15470.5
INV000097,54.5,at-risk,7,22158.14285714286
INV000101,65.0,at-risk,8,14100.25
INV000102,65.28571428571429,at-risk,8,14259.25
INV000103,83.4,at-risk,6,3445.8333333333335
INV000105,57.0,at-risk,8,10863.875
INV000109,46.25,at-risk,9,7516.777777777777
INV000113,46.0,at-risk,8,10543.625
INV000123,59.666666666666664,at-risk,7,16233.285714285714
INV000128,82.0,at-risk,6,6378.833333333333
INV000131,56.0,at-risk,7,14600.142857142857
INV000132,71.0,at-risk,6,14733.833333333334
INV000133,88.2,at-risk,6,12449.166666666666
INV000138,76.2,at-risk,6,26011.0
INV000145,89.4,at-risk,6,21172.333333333332
INV000146,66.8,at-risk,6,14769.666666666666
INV000148,52.0,at-risk,9,10001.333333333334
INV000155,37.333333333333336,at-risk,7,8218.57142857143
INV000161,73.0,at-risk,7,6326.714285714285
INV000163,61.0,at-risk,8,7283.875
INV000164,61.8,at-risk,6,4208.833333333333
INV000169,67.83333333333333,at-risk,7,6958.285714285715
INV000173,57.666666666666664,at-risk,7,11198.142857142857
INV000175,83.66666666666667,at-risk,7,10188.57142857143
INV000177,65.42857142857143,at-risk,8,6440.0
INV000180,61.8,at-risk,6,2654.0
INV000183,56.125,at-risk,9,9560.0
INV000191,56.5,at-risk,7,9808.0
INV000194,58.0,at-risk,7,8836.714285714286
INV000195,77.4,at-risk,6,3623.1666666666665
INV000196,69.0,at-risk,7,11526.42857142857
INV000201,51.125,at-risk,9,10919.777777777777
INV000205,62.57142857142857,at-risk,8,9011.375
INV000210,70.71428571428571,at-risk,8,11696.5
INV000214,94.8,at-risk,6,11226.166666666666
INV000217,92.0,at-risk,6,7357.666666666667
INV000228,59.75,at-risk,9,26575.11111111111
INV000236,67.14285714285714,at-risk,8,14027.125
INV000238,93.6,at-risk,6,24403.666666666668
INV000239,48.857142857142854,at-risk,8,20161.5
INV000243,88.2,at-risk,6,9690.833333333334
INV000245,92.2,at-risk,6,7670.5
INV000249,45.5,at-risk,7,27822.714285714286
INV000252,50.4,at-risk,6,17188.0
INV000255,48.6,at-risk,6,5775.5
INV000256,70.2,at-risk,6,5317.0
INV000259,70.6,at-risk,6,13656.333333333334
INV000260,59.57142857142857,at-risk,8,17454.125
INV000262,53.57142857142857,at-risk,8,5901.125
INV000263,68.42857142857143,at-risk,8,19709.75
INV000265,53.44444444444444,at-risk,10,20343.3
INV000268,62.333333333333336,at-risk,7,11372.142857142857
INV000279,43.375,at-risk,9,6847.0
INV000280,55.75,at-risk,9,16132.666666666666
INV000283,68.0,at-risk,6,4060.3333333333335
INV000287,69.83333333333333,at-risk,7,9193.0
INV000289,62.714285714285715,at-risk,8,10205.0
INV000291,89.0,at-risk,6,12696.333333333334
INV000292,46.0,at-risk,7,17665.14285714286
INV000293,47.0,at-risk,7,10082.0
INV000297,90.6,at-risk,6,3723.0
INV000299,85.2,at-risk,6,7592.833333333333
INV000304,70.0,at-risk,7,11364.857142857143
INV000309,52.0,at-risk,8,7893.25
INV000310,75.83333333333333,at-risk,7,6624.0
INV000318,97.4,at-risk,6,11621.0
INV000319,73.5,at-risk,7,5734.714285714285
INV000321,72.83333333333333,at-risk,7,13032.142857142857
INV000328,37.5,at-risk,9,7141.444444444444
INV000331,50.714285714285715,at-risk,8,15547.25
INV000334,25.5,active,7,6245.714285714285
INV000335,96.0,at-risk,6,11474.666666666666
INV000339,94.0,at-risk,6,12426.0
INV000341,54.42857142857143,at-risk,8,9557.5
INV000356,54.4,at-risk,6,12144.166666666666
INV000359,54.125,at-risk,9,10383.444444444445
INV000363,77.0,at-risk,7,8525.285714285714
INV000369,43.8,at-risk,6,3775.6666666666665
INV000371,59.285714285714285,at-risk,8,8998.125
INV000372,54.5,at-risk,7,12839.0
INV000380,97.0,at-risk,6,12116.666666666666
INV000388,53.625,at-risk,9,12157.777777777777
INV000392,77.16666666666667,at-risk,7,5647.142857142857
INV000395,55.666666666666664,at-risk,7,3286.285714285714
INV000396,83.2,at-risk,6,7674.833333333333
INV000399,49.55555555555556,at-risk,10,5819.3
INV000400,62.6,at-risk,6,3542.6666666666665
INV000403,58.2,at-risk,6,12363.0
INV000407,82.4,at-risk,6,18687.166666666668
INV000408,46.8,at-risk,6,7895.666666666667
INV000412,43.714285714285715,at-risk,8,10930.125
INV000414,66.28571428571429,at-risk,8,11931.875
INV000415,66.16666666666667,at-risk,7,6110.714285714285
INV000418,86.8,at-risk,6,18916.166666666668
INV000427,68.5,at-risk,7,15163.57142857143
INV000428,52.142857142857146,at-risk,8,6793.75
INV000429,77.2,at-risk,6,19547.333333333332
INV000437,97.8,at-risk,6,5456.5
INV000440,69.57142857142857,at-risk,8,4205.875
INV000441,60.8,at-risk,6,7606.333333333333
INV000444,73.2,at-risk,6,12789.5
INV000445,57.75,at-risk,9,5877.555555555556
INV000446,38.6,at-risk,6,5199.166666666667
INV000449,46.8,at-risk,6,9927.833333333334
INV000452,49.375,at-risk,9,9363.333333333334
INV000457,91.4,at-risk,6,5454.166666666667
INV000460,43.4,at-risk,6,5894.833333333333
INV000463,65.16666666666667,at-risk,7,20594.714285714286
INV000466,73.33333333333333,at-risk,7,17878.714285714286
INV000467,56.666666666666664,at-risk,10,6540.8
INV000469,70.5,at-risk,7,4882.857142857143
INV000483,70.42857142857143,at-risk,8,17764.375
INV000491,95.0,at-risk,6,7168.0
INV000493,47.55555555555556,at-risk,10,13008.5
INV000497,71.83333333333333,at-risk,7,10298.142857142857
INV000499,77.83333333333333,at-risk,7,18192.0
INV000507,70.16666666666667,at-risk,7,8417.142857142857
INV000512,54.75,at-risk,9,8158.444444444444
INV000522,100.8,at-risk,6,4712.5
INV000524,55.0,at-risk,7,16938.714285714286
INV000527,50.8,at-risk,6,19261.666666666668
INV000529,59.2,at-risk,6,3837.8333333333335
INV000531,47.0,at-risk,7,21654.85714285714
INV000539,77.0,at-risk,7,15338.714285714286
INV000540,73.5,at-risk,7,11182.285714285714
INV000543,83.66666666666667,at-risk,7,23244.428571428572
INV000545,80.6,at-risk,6,8091.333333333333
INV000546,55.0,at-risk,9,10222.444444444445
INV000547,55.8,at-risk,6,6189.166666666667
INV000549,96.2,at-risk,6,14464.0
INV000553,72.0,at-risk,6,9116.333333333334
INV000554,70.2,at-risk,6,9456.833333333334
INV000556,52.42857142857143,at-risk,8,15802.0
INV000562,74.4,at-risk,6,8048.666666666667
INV000563,76.33333333333333,at-risk,7,8479.714285714286
INV000566,35.0,active,7,17144.14285714286
INV000567,63.8,at-risk,6,5546.166666666667
INV000568,62.4,at-risk,6,17825.5
INV000570,67.28571428571429,at-risk,8,17030.25
INV000573,50.833333333333336,at-risk,7,16376.0
INV000575,71.6,at-risk,6,7198.666666666667
INV000578,66.83333333333333,at-risk,7,13142.285714285714
INV000581,78.33333333333333,at-risk,7,8409.0
INV000586,44.5,at-risk,7,19731.714285714286
INV000589,59.125,at-risk,9,7705.0
INV000591,64.5,at-risk,7,2266.714285714286
INV000593,74.2,at-risk,6,5179.666666666667
INV000596,51.75,at-risk,9,18879.444444444445
INV000597,88.6,at-risk,6,13748.0
INV000599,81.5,at-risk,7,14822.57142857143
INV000607,66.66666666666667,at-risk,7,5527.571428571428
INV000608,100.2,at-risk,6,7579.166666666667
INV000609,47.0,at-risk,6,7368.666666666667
INV000612,49.3,at-risk,11,11240.727272727272
INV000615,55.833333333333336,at-risk,7,4225.285714285715
INV000624,31.666666666666668,active,7,18848.14285714286
INV000625,86.4,at-risk,6,3899.5
INV000630,68.66666666666667,at-risk,7,7883.142857142857
INV000631,54.0,at-risk,6,7553.166666666667
INV000634,52.25,at-risk,9,10955.0
INV000635,75.0,at-risk,6,5027.166666666667
INV000641,54.8,at-risk,6,15470.833333333334
INV000642,53.5,at-risk,9,12201.888888888889
INV000645,66.0,at-risk,6,4441.0
INV000646,62.333333333333336,at-risk,7,10887.42857142857
INV000651,94.0,at-risk,6,5730.166666666667
INV000652,93.8,at-risk,6,5806.166666666667
INV000657,64.71428571428571,at-risk,8,12923.5
INV000662,66.14285714285714,at-risk,8,4279.75
INV000663,94.4,at-risk,6,13886.0
INV000665,36.22222222222222,at-risk,10,5614.0
INV000667,68.0,at-risk,6,19619.166666666668
INV000673,92.8,at-risk,6,24255.5
INV000675,62.8,at-risk,6,3860.0
INV000676,35.3,at-risk,11,15885.545454545454
INV000678,63.333333333333336,at-risk,7,5231.857142857143
INV000683,54.5,at-risk,9,5297.555555555556
INV000690,56.285714285714285,at-risk,8,21146.375
INV000691,66.4,at-risk,6,8393.833333333334
INV000698,52.25,at-risk,9,8649.777777777777
INV000699,42.8,at-risk,6,8594.666666666666
INV000701,83.66666666666667,at-risk,7,7355.142857142857
INV000707,34.375,active,9,5665.333333333333
INV000709,65.16666666666667,at-risk,7,20532.0
INV000710,88.6,at-risk,6,10495.833333333334
INV000714,37.0,at-risk,9,5279.888888888889
INV000718,57.833333333333336,at-risk,7,7531.285714285715
INV000719,72.83333333333333,at-risk,7,18750.285714285714
INV000724,81.2,at-risk,6,5546.833333333333
